gene_id state1_rep1 state1_rep2 state2_rep1 state2_rep2
EBG00001089504 36 10 69 6
EBG00001089505 0 0 0 0
EBG00001089506 0 0 0 0
EBG00001089507 0 0 0 0
EBG00001089508 4 20 81 22
EBG00001089509 4 72 72 27
EBG00001089510 13 18 1 48
EBG00001089511 0 17 17 10
EBG00001089512 18 52 291 38
EBG00001089513 109 199 370 277
EBG00001089514 0 16 34 27
EBG00001089515 0 0 0 0
EBG00001089516 0 0 32 12
EBG00001089517 31 12 68 17
EBG00001089518 0 0 0 0
EBG00001089519 2 7 5 2
EBG00001089520 16 0 22 53
EBG00001089521 42 38 26 29
EBG00001089522 0 0 1 0
EBG00001089523 10 23 156 57
EBG00001089524 70 405 272 132
EBG00001089525 0 0 0 0
EBG00001089526 17 16 104 82
EBG00001089527 0 0 13 0
EBG00001089528 0 23 105 22
EBG00001089529 0 0 0 0
EBG00001089530 2 85 93 35
EBG00001089531 12 12 12 18
EBG00001089532 47 48 157 58
EBG00001089533 0 12 0 1
EBG00001089534 0 0 0 0
EBG00001089535 48 231 448 96
EBG00001089536 0 10 37 11
EBG00001089537 2 4 4 5
EBG00001089538 0 0 3 0
EBG00001089539 0 5 0 0
EBG00001089540 0 13 180 80
EBG00001089541 0 0 0 0
EBG00001089542 0 0 0 0
EBG00001089543 0 0 0 0
EBG00001089544 12 38 37 4
EBG00001089545 8 19 0 65
EBG00001089546 0 66 32 42
EBG00001089547 0 0 1 0
EBG00001089548 78 283 321 368
EBG00001089549 78 35 29 80
EBG00001089550 36 49 164 60
EBG00001089551 0 0 0 0
EBG00001089552 72 217 644 112
EBG00001089553 40 158 273 269
EBG00001089554 0 0 0 0
EBG00001089555 3 0 2 1
EBG00001089556 0 0 0 0
EBG00001089557 0 63 87 7
EBG00001089558 24 22 27 3
EBG00001089559 2085 2278 5377 4193
EBG00001089560 282 489 749 427
EBG00001089561 7 0 0 0
EBG00001089562 0 21 6 5
EBG00001089563 0 0 29 1
EBG00001089564 22 12 18 8
EBG00001089565 0 0 0 0
EBG00001089566 70 243 1002 646
EBG00001089567 0 0 0 0
EBG00001089568 4372 3589 14471 11063
EBG00001089569 57 100 78 30
EBG00001089570 78 119 452 196
EBG00001089571 0 0 0 0
EBG00001089572 21 16 48 0
EBG00001089573 0 0 0 0
EBG00001089574 84383 43407 291252 531768
EBG00001089575 0 38 36 0
EBG00001089576 0 0 10 0
EBG00001089577 0 0 0 0
EBG00001089578 0 14 6 0
EBG00001089579 27 25 23 13
EBG00001089580 42 20 96 122
EBG00001089581 52 210 610 242
EBG00001089582 17 51 42 36
EBG00001089583 922 447 344 252
EBG00001089584 7431 9947 13820 20202
EBG00001089585 66 96 173 205
EBG00001089586 0 0 0 0
EBG00001089587 0 0 0 0
EBG00001089588 0 0 0 0
EBG00001089589 0 0 1 0
EBG00001089590 43 58 383 180
EBG00001089591 140 786 2752 1129
EBG00001089592 12 2 18 3
EBG00001089593 32 30 227 63
EBG00001089594 6 8 9 14
EBG00001089595 17 100 158 44
EBG00001089596 62 54 126 83
EBG00001089597 0 0 6 1
EBG00001089598 0 34 118 18
EBG00001089599 0 6 3 1
EBG00001089600 280 147 862 405
EBG00001089601 0 20 35 3
EBG00001089602 7 44 13 28
EBG00001089603 0 0 1 0
EBG00001089604 0 0 0 0
EBG00001089605 0 23 32 6
EBG00001089606 0 4 0 0
EBG00001089607 0 0 0 0
EBG00001089608 17 13 26 13
EBG00001089609 56 495 162 162
EBG00001089610 8 37 196 92
EBG00001089611 293 379 1214 1214
EBG00001089612 0 0 0 0
EBG00001089613 1091 1132 1219 1782
EBG00001089614 0 0 7 0
EBG00001089615 0 0 0 0
EBG00001089616 35 63 131 114
EBG00001089617 0 170 73 130
EBG00001089618 0 5 44 12
EBG00001089619 0 0 0 18
EBG00001089620 23 153 172 37
EBG00001089621 10 7 12 9
EBG00001089622 49 31 61 21
EBG00001089623 8 17 61 36
EBG00001089624 0 7 16 0
EBG00001089625 0 0 0 0
EBG00001089626 932 984 876 923
EBG00001089627 6 95 252 24
EBG00001089628 40 50 60 23
EBG00001089629 174 509 1914 667
EBG00001089630 0 0 0 0
EBG00001089631 0 0 4 7
EBG00001089632 14 12 0 10
EBG00001089633 13 0 0 11
EBG00001089634 0 22 61 35
EBG00001089635 0 44 82 44
EBG00001089636 169 344 945 158
EBG00001089637 155 1903 853 388
EBG00001089638 0 0 2 0
EBG00001089639 8 42 46 54
EBG00001089640 82 303 581 305
EBG00001089641 0 0 0 0
EBG00001089642 0 8 0 0
EBG00001089643 0 0 0 0
EBG00001089644 0 0 0 0
EBG00001089645 27 141 370 182
EBG00001089646 184 302 267 188
EBG00001089647 8 15 57 21
EBG00001089648 37 0 44 10
EBG00001089649 0 12 0 0
EBG00001089650 10 75 149 46
EBG00001089651 0 0 2 0
EBG00001089652 0 0 0 0
EBG00001089653 178 372 1336 411
EBG00001089654 122 521 877 578
EBG00001089655 5 17 9 0
EBG00001089656 69 85 292 128
EBG00001089657 0 0 0 0
EBG00001089658 6 55 15 56
EBG00001089659 12 38 108 75
EBG00001089660 209 494 1113 529
EBG00001089661 50 263 369 33
EBG00001089662 49 76 266 131
EBG00001089663 0 0 0 1
EBG00001089664 14 9 10 5
EBG00001089665 295 281 756 344
EBG00001089666 0 0 12 0
EBG00001089667 17 4 32 24
EBG00001089668 0 45 93 52
EBG00001089669 0 143 490 144
EBG00001089670 15 11 19 21
EBG00001089671 0 0 0 0
EBG00001089672 0 23 0 9
EBG00001089673 61257 52522 138808 81294
EBG00001089674 200 931 1121 600
EBG00001089675 123 510 353 159
EBG00001089676 0 0 15 13
EBG00001089677 41 345 922 215
EBG00001089678 148 331 483 302
