"genes"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ECDH10B_0130"	1176.89974100108	2.53190372746771	0.444581452408631	4.37926777241496	1.19078741221295e-05	0.000521985164459464
"ECDH10B_0788"	1229.96338669298	2.10419116051962	0.463065821026061	3.2808049975102	0.00103511282365813	0.0292184119768953
"ECDH10B_0789"	744.741461378404	2.66997192703671	0.441266557558527	4.72505652332153	2.30051358976296e-06	0.000120728361062771
"ECDH10B_0790"	3929.57326342354	1.88598475960041	0.361335427014707	3.60059424460004	0.000317490718851896	0.0105952000883214
"ECDH10B_0791"	2291.1755187347	1.84626424681668	0.415411010896281	3.03627422723862	0.00239521413052074	0.0591030983464918
"ECDH10B_0792"	7006.25034516567	1.89965761415528	0.37700518327201	3.48720699812121	0.000488093420166806	0.0155438981499275
"ECDH10B_0873"	504.774941157459	3.27329113499698	0.477225331825482	5.63324797531689	1.76846884522495e-08	1.64732872932704e-06
"ECDH10B_0877"	333.21687786641	2.52697422803927	0.616786291993078	3.14859741944445	0.00164056030905597	0.0433526788052663
"ECDH10B_0924"	211.118752704976	3.07546080589422	0.742222502298406	3.35546052223	0.000792329643069108	0.0235782624099505
"ECDH10B_1089"	197.098030484271	4.44722394991803	1.02314991064103	3.77487346578282	0.000160088903119843	0.00562727597192957
"ECDH10B_1091"	200.690109758458	3.54535418666231	0.659687377621093	4.48756757574575	7.20409651356188e-06	0.000323403176018453
"ECDH10B_1126"	367.230054033775	2.15005733565921	0.5475203266303	2.85851457711239	0.00425629552406649	0.0938399829743891
"ECDH10B_1127"	139.647191654599	2.57186464153432	0.701541927611988	2.832193006021	0.00462299346273116	0.098995825529519
"ECDH10B_1174"	389.289701900624	3.02129399836842	0.521990421020846	4.667387368685	3.05053874181518e-06	0.000151550764693378
"ECDH10B_1355"	108.077067366706	6.16461771080702	1.09009206566143	5.11851740403258	3.07946824566836e-07	2.06622929013178e-05
"ECDH10B_1356"	166.846207265416	3.80574092210178	0.891426822696644	3.61305980409865	0.00030260487493123	0.0102500523999433
"ECDH10B_1414"	830.616092380277	2.43556449877257	0.590641733251869	3.13320562003406	0.00172908266391762	0.0447914979238806
